Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Patrimonio S/.,Partícipes N
Inst. Deuda Mediano Plazo $,CREDICORP CONSER. MED. PLA. $ CREDIFONDO SAF,CREDIFONDO SAF,26/03/1996,$,269.23,0.0537,0.0603,-0.036,-0.0063,0.0401,0.0629,-0.0058,0.0303,0.0177,0.0013,0.011,690801831.06,6141.0
Inst. Deuda Mediano Plazo $,IF MEDIANO PLAZO INTERFONDO,INTERFONDO,1/9/97,$,113.02,0.0329,0.0331,-0.0439,-0.0142,0.0309,0.044,-0.0026,0.0228,0.0146,-0.0033,0.0116,84657300.04,3915.0
Inst. Deuda Corto Plazo S/,BBVA CASH SOLES CONTINENTAL FM,CONTINENTAL FM,2/12/08,S/.,162.43,0.0476,0.0713,0.038,0.001,0.0091,0.0249,0.0199,0.0317,0.038,0.0324,0.0294,2627556697.17,73771.0
Inst. Deuda Corto Plazo S/,BBVA RENTA CORTO PLAZO S/. CONTINENTAL FM,CONTINENTAL FM,27/12/2005,S/.,196.55,0.0496,0.0768,0.0272,-0.0195,0.0245,0.0378,0.0222,0.045,0.0443,0.0297,0.0326,407263099.55,5396.0
Inst. Deuda Corto Plazo S/,BBVA TESORERIA SOLES FMIV CONTINENTAL FM,CONTINENTAL FM,3/10/18,S/.,125.27,0.0487,0.0708,0.0344,0.0014,0.0138,0.032,0.0073,,,,,293390258.92,460.0
Inst. Deuda Corto Plazo S/,CRED. CONSER. CORTO PLAZO S/ CREDIFONDO SAF,CREDIFONDO SAF,10/2/14,S/.,153.37,0.0537,0.0754,0.0329,-0.0076,0.0307,0.0377,0.0293,0.0457,0.0491,0.0479,0.0321,809653839.22,10978.0
Inst. Deuda Corto Plazo S/,CRED. CONSERVAD. LIQUIDEZ S/ CREDIFONDO SAF,CREDIFONDO SAF,6/4/00,S/.,333.61,0.0478,0.0721,0.0457,0.002,0.0136,0.0302,0.0281,0.0388,0.0424,0.035,0.0334,2183626616.03,32793.0
Inst. Deuda Corto Plazo S/,DIVISO CONSERVADOR SOLES DIVISO FONDOS SAF S.A.,DIVISO FONDOS SAF S.A.,31/07/2013,S/.,149.14,-0.048,0.077,0.0495,0.0145,0.0217,0.04,0.0361,0.0543,0.0588,0.0383,0.0352,3773645.66,157.0
Inst. Deuda Corto Plazo S/,SF Liquidez S/. SCOTIA FONDOS,SCOTIA FONDOS,30/01/2023,S/.,11.27,0.0437,0.0635,,,,,,,,,,1177083339.99,15097.0
Inst. Deuda Corto Plazo S/,SURA CORTO PLAZO SOLES FONDOS SURA SAF,FONDOS SURA SAF,25/03/2009,S/.,188.65,0.0525,0.067,0.0394,-0.0067,0.0296,0.0429,0.0324,0.0505,0.0526,0.0362,0.0438,210884917.84,823.0
