Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Patrimonio S/.,Partícipes N
Inst. Deuda Corto Plazo $,CRED. CONSER. CORTO PLAZO $ CREDIFONDO SAF,CREDIFONDO SAF,18/02/2014,$,122.39,0.026,0.0516,0.0145,0.0034,0.0241,0.0297,0.0166,0.0135,0.0114,0.0075,0.0038,1352590298.88,5345.0
Inst. Deuda Corto Plazo $,CRED. CONSERVADOR LIQUIDEZ $ CREDIFONDO SAF,CREDIFONDO SAF,6/5/99,$,184.53,0.0253,0.0483,0.0158,0.0028,0.0099,0.0219,0.0164,0.0088,0.0059,0.0043,0.0025,2986046639.47,14539.0
Inst. Deuda Corto Plazo $,DIVISO CONSERVADOR DOLARES DIVISO FONDOS SAF S.A.,DIVISO FONDOS SAF S.A.,19/03/2015,$,111.26,-0.0977,0.0536,0.0088,0.0293,0.0262,0.034,0.0222,0.0191,0.0264,-0.0098,,3993197.7,89.0
Inst. Deuda Corto Plazo $,FARO CORTO PLAZO DOLARES FARO CAPITAL SAFI,FARO CAPITAL SAFI,9/8/22,$,0.0,,,,,,,,,,,,8236943.49,23.0
Inst. Deuda Corto Plazo $,FARO CAPITAL SAFI-FARO CORTO PLAZO DOLARES SERIE A,FARO CAPITAL SAFI,9/8/22,$,104.48,0.0255,0.0089,0.0094,,,,,,,,,,1.0
Inst. Deuda Corto Plazo $,FARO CAPITAL SAFI-FARO CORTO PLAZO DOLARES SERIE B,FARO CAPITAL SAFI,9/8/22,$,108.25,0.0248,0.0448,0.0092,,,,,,,,,,22.0
Inst. Deuda Corto Plazo $,SF LIQUIDEZ $ SCOTIA FONDOS,SCOTIA FONDOS,31/01/2023,$,10.72,0.0238,0.0422,,,,,,,,,,2713326597.72,10060.0
Inst. Deuda Corto Plazo $,SURA CORTO PLAZO DOLARES FONDOS SURA SAF,FONDOS SURA SAF,31/08/2009,$,134.64,0.0253,0.0482,0.0138,0.0065,0.0173,0.0311,0.0216,0.0165,0.0124,0.0052,0.0057,158920758.64,697.0
Inst. Deuda Corto Plazo $,SURA ULTRA CASH DOLARES FONDOS SURA SAF,FONDOS SURA SAF,19/07/2012,$,121.38,0.0254,0.0479,0.0149,0.0041,0.0116,0.025,0.0198,0.0117,0.0069,0.0031,0.0014,1106026102.76,2370.0
Flexible,BLUM BONOS GLOBALES FM BLUM SAF,BLUM SAF,25/03/2024,$,10.1,0.0091,,,,,,,,,,,56543864.08,15.0
Flexible,Blum Capital Global FM BLUM SAF,BLUM SAF,23/09/2022,$,0.0,,,,,,,,,,,,9273273.88,166.0
Flexible,BLUM SAF-Blum Capital Global FM SERIE A,BLUM SAF,23/09/2022,$,12.8,0.0737,0.1345,0.0489,,,,,,,,,9273273.88,3.0
Flexible,BLUM SAF-Blum Capital Global FM SERIE B,BLUM SAF,23/09/2022,$,12.76,0.0726,0.1325,0.0484,,,,,,,,,9273273.88,162.0
Flexible,BLUM SAF-Blum Capital Global FM SERIE I,BLUM SAF,23/09/2022,$,12.85,0.0749,0.1368,0.0494,,,,,,,,,9273273.88,1.0
Flexible,Blum Cash FM BLUM SAF,BLUM SAF,11/8/22,$,10.83,0.0249,0.0459,0.0092,,,,,,,,,28684231.56,155.0
Flexible,Blum Cash S/ FM BLUM SAF,BLUM SAF,12/12/23,S/.,10.93,0.0279,0.0039,,,,,,,,,,2962710.39,363.0
Flexible,BLUM MONEY MARKET $ FM BLUM SAF,BLUM SAF,14/02/2023,$,10.71,0.0262,0.0441,,,,,,,,,,30344010.98,14.0
Flexible,Blum Renta Global FM BLUM SAF,BLUM SAF,16/03/2022,$,0.0,,,,,,,,,,,,6299126.76,120.0
Flexible,BLUM SAF-Blum Renta Global FM SERIE A,BLUM SAF,16/03/2022,$,10.3,0.0273,0.0622,-0.0571,,,,,,,,,6299126.76,8.0
Flexible,BLUM SAF-Blum Renta Global FM SERIE B,BLUM SAF,16/03/2022,$,10.26,0.0263,0.0606,-0.0584,,,,,,,,,6299126.76,112.0
Flexible,BLUM SAF-Blum Renta Global FM SERIE I,BLUM SAF,16/03/2022,$,10.12,,0.0641,-0.0557,,,,,,,,,,1.0
Flexible,CC DEUDA CORPORATIVA SOLES CREDIFONDO SAF,CREDIFONDO SAF,31/07/2019,S/.,116.25,0.0463,0.1362,-0.0539,-0.0377,0.0561,0.0148,,,,,,49666493.01,388.0
Flexible,CC FACTORING $ CREDIFONDO SAF,CREDIFONDO SAF,20/06/2023,$,107.49,0.0353,0.0382,,,,,,,,,,347001866.78,847.0
Flexible,CC RENTA OPERATIVA I (FI) CREDIFONDO SAF,CREDIFONDO SAF,28/06/2019,$,131.37,0.0308,0.0676,0.0549,0.0488,0.048,0.0259,,,,,,146550231.82,535.0
Flexible,CORIL CASH CONSERVADOR S/ CORIL SAF,CORIL SAF,10/8/22,S/.,1121.33,0.0302,0.0625,0.0236,,,,,,,,,5336592.61,24.0
Flexible,CRED CAP FACTORING S/ CREDIFONDO SAF,CREDIFONDO SAF,7/12/20,S/.,126.06,0.0392,0.0829,0.0673,0.0418,0.0048,,,,,,,67014639.52,277.0
Flexible,FARO DEUDA GLOBAL FARO CAPITAL SAFI,FARO CAPITAL SAFI,29/05/2018,$,0.0,,,,,,,,,,,,66166014.71,49.0
Flexible,FARO CAPITAL SAFI-FARO DEUDA GLOBAL SERIE A,FARO CAPITAL SAFI,29/05/2018,$,102.32,-0.0043,0.0447,-0.1174,-0.0194,0.0617,0.0656,0.0039,,,,,,4.0
Flexible,FARO CAPITAL SAFI-FARO DEUDA GLOBAL SERIE B,FARO CAPITAL SAFI,29/05/2018,$,101.43,-0.0049,0.0435,-0.1184,-0.0205,0.0604,0.0635,0.0025,,,,,,8.0
Flexible,FARO CAPITAL SAFI-FARO DEUDA GLOBAL SERIE C,FARO CAPITAL SAFI,29/05/2018,$,100.26,-0.0055,0.0423,-0.1194,-0.0217,0.0592,0.0597,-0.0003,,,,,,37.0
Flexible,IF Futuro Seguro $ INTERFONDO,INTERFONDO,27/12/2021,$,48.73,0.0456,0.0832,-0.1385,-0.0003,,,,,,,,8421311.21,120.0
Flexible,IF Futuro Seguro S/ INTERFONDO,INTERFONDO,27/12/2021,S/.,101.5,0.0456,0.1038,-0.1201,-0.0005,,,,,,,,3569611.0,95.0
Flexible,IF INVERSION GLOBAL INTERFONDO,INTERFONDO,26/01/2015,$,68.5,0.0871,0.1405,-0.2028,0.1175,0.1496,0.1565,-0.088,0.0699,-0.0209,-0.0282,,28609026.84,646.0
Flexible,IF OPORTUNIDAD INTERFONDO,INTERFONDO,6/12/13,$,0.0,,,,,0.0205,0.0269,0.01,0.0141,0.0071,0.0061,0.0024,293054894.42,3848.0
Flexible,INTERFONDO-IF OPORTUNIDAD SERIE A,INTERFONDO,6/12/13,$,58.55,0.0191,0.0336,0.0144,,,,,,,,,,3749.0
Flexible,INTERFONDO-IF OPORTUNIDAD SERIE B,INTERFONDO,6/12/13,$,58.92,0.0201,0.0354,0.0162,,,,,,,,,,94.0
Flexible,INTERFONDO-IF OPORTUNIDAD SERIE C,INTERFONDO,6/12/13,$,58.55,,,,,,,,,,,,,5.0
Flexible,IF OPORTUNIDAD SOLES INTERFONDO,INTERFONDO,16/11/2012,S/.,0.0,,,,,,0.0352,0.0219,0.0427,0.0404,0.0388,0.0329,419861239.57,6606.0
Flexible,INTERFONDO-IF OPORTUNIDAD SOLES SERIE A,INTERFONDO,16/11/2012,S/.,144.59,0.0294,0.078,0.0026,-0.0101,,,,,,,,,6493.0
Flexible,INTERFONDO-IF OPORTUNIDAD SOLES SERIE B,INTERFONDO,16/11/2012,S/.,145.24,0.03,0.0792,0.0038,-0.0089,,,,,,,,,38.0
Flexible,INTERFONDO-IF OPORTUNIDAD SOLES SERIE C,INTERFONDO,16/11/2012,S/.,144.61,,,,,,,,,,,,,75.0
Flexible,IF Portafolio Dinámico INTERFONDO,INTERFONDO,28/12/2017,$,71.54,0.0205,0.0504,0.0282,0.0217,0.0592,0.0688,0.1158,0.0007,,,,86104540.3,488.0
Flexible,IF Portafolio Dinamico Soles INTERFONDO,INTERFONDO,5/5/21,S/.,0.0,,,0.1022,0.0998,,,,,,,,428574973.53,3533.0
Flexible,INTERFONDO-IF Portafolio Dinamico Soles SERIE A,INTERFONDO,5/5/21,S/.,133.73,0.0274,,,,,,,,,,,,3479.0
Flexible,INTERFONDO-IF Portafolio Dinamico Soles SERIE B,INTERFONDO,5/5/21,S/.,134.14,0.0298,,,,,,,,,,,,54.0
Flexible,INDEPENDIENTE PMG INDEPENDIENTE SAF,INDEPENDIENTE SAF,31/12/2020,$,107.58,0.0428,0.0829,-0.0881,0.0472,-0.0028,,,,,,,52449627.44,955.0
Flexible,SCOTIA DEPÓSITO DISPONIBLE S/. SCOTIA FONDOS,SCOTIA FONDOS,16/08/2011,S/.,12.31,0.0379,-0.1296,0.0109,0.0089,0.0196,0.0294,0.0268,0.0382,0.042,0.0337,0.0304,61404110.36,8312.0
Flexible,SCOTIA FONDO CASH $ SCOTIA FONDOS,SCOTIA FONDOS,7/3/01,$,16.17,0.0242,-0.031,-0.0186,0.0094,0.0135,0.0289,0.0157,0.0146,0.0099,0.0048,0.0026,66840621.79,2078.0
Flexible,SCOTIA FONDO CASH S/. SCOTIA FONDOS,SCOTIA FONDOS,21/06/2001,S/.,20.65,0.0256,-0.0619,-0.0177,-0.0054,0.0358,0.0396,0.0269,0.0438,0.0462,0.0351,0.0348,61040534.4,5515.0
Flexible,SCOTIA FONDO PREMIUM $ SCOTIA FONDOS,SCOTIA FONDOS,2/7/96,$,20.38,0.0143,0.0339,-0.2472,-0.0048,0.0528,0.0494,0.0037,0.0228,0.017,-0.0066,0.0116,40478822.19,1768.0
