fund_id,year,return
113,2021,0.0089
113,2022,0.0109
113,2023,-0.1296
113,2024,0.0379
114,2014,0.0026
114,2015,0.0048
114,2016,0.0099
114,2017,0.0146
114,2018,0.0157
114,2019,0.0289
114,2020,0.0135
114,2021,0.0094
114,2022,-0.0186
114,2023,-0.031
114,2024,0.0242
115,2014,0.0348
115,2015,0.0351
115,2016,0.0462
115,2017,0.0438
115,2018,0.0269
115,2019,0.0396
115,2020,0.0358
115,2021,-0.0054
115,2022,-0.0177
115,2023,-0.0619
115,2024,0.0256
116,2014,0.0116
116,2015,-0.0066
116,2016,0.017
116,2017,0.0228
116,2018,0.0037
116,2019,0.0494
116,2020,0.0528
116,2021,-0.0048
116,2022,-0.2472
116,2023,0.0339
116,2024,0.0143
117,2014,0.0438
117,2015,0.0265
117,2016,0.0418
117,2017,0.0608
117,2018,-0.0062
117,2019,0.0662
117,2020,0.0589
117,2021,-0.0062
117,2022,-0.3065
117,2023,-0.0023
117,2024,0.0074
118,2014,
118,2015,
118,2016,
118,2017,
118,2018,
118,2019,
118,2020,
118,2021,
118,2022,
118,2023,0.0057
118,2024,0.0242
119,2014,
119,2015,
119,2016,
119,2017,
119,2018,
119,2019,
119,2020,
119,2021,
119,2022,
119,2023,
119,2024,0.0172
120,2014,
120,2015,
120,2016,
120,2017,
120,2018,
120,2019,
120,2020,
120,2021,
120,2022,
120,2023,0.1371
120,2024,0.0026
121,2014,
121,2015,
121,2016,
121,2017,
121,2018,
121,2019,
121,2020,
121,2021,
121,2022,-0.0398
121,2023,0.1926
121,2024,-0.021
122,2014,
122,2015,
122,2016,
122,2017,
122,2018,
122,2019,
122,2020,
122,2021,
122,2022,
122,2023,0.1307
122,2024,-0.0026
123,2014,
123,2015,
123,2016,
123,2017,
123,2018,
123,2019,
123,2020,
123,2021,
123,2022,
123,2023,
123,2024,0.0049
124,2014,
124,2015,
124,2016,
124,2017,
124,2018,
124,2019,
124,2020,
124,2021,
124,2022,
124,2023,0.0584
124,2024,-0.005
125,2014,
125,2015,
125,2016,
125,2017,
125,2018,
125,2019,
125,2020,
125,2021,
125,2022,0.0491
125,2023,0.0841
125,2024,-0.0252
126,2014,
126,2015,
126,2016,
126,2017,
126,2018,
126,2019,
126,2020,
126,2021,
126,2022,0.0168
126,2023,0.1472
126,2024,-0.0248
127,2014,
127,2015,
127,2016,
127,2017,
127,2018,
127,2019,
127,2020,
127,2021,
127,2022,0.0404
127,2023,0.0205
127,2024,-0.0132
128,2014,
128,2015,
128,2016,
128,2017,
128,2018,
128,2019,
128,2020,
128,2021,
128,2022,
128,2023,0.0323
128,2024,0.0426
129,2014,
129,2015,
129,2016,
129,2017,
129,2018,
129,2019,
129,2020,
129,2021,
129,2022,
129,2023,
129,2024,0.0328
130,2014,
130,2015,
130,2016,
130,2017,
130,2018,
130,2019,
130,2020,
130,2021,
130,2022,
130,2023,0.0277
130,2024,0.0291
131,2014,
131,2015,
131,2016,
131,2017,
131,2018,
131,2019,
131,2020,
131,2021,
131,2022,
131,2023,0.0033
131,2024,0.0294
132,2014,
132,2015,
132,2016,
132,2017,
132,2018,
132,2019,
132,2020,
132,2021,
132,2022,
132,2023,
132,2024,0.0133
133,2014,
133,2015,
133,2016,
133,2017,
133,2018,
133,2019,
133,2020,
133,2021,
133,2022,
133,2023,
133,2024,0.0223
134,2014,
134,2015,
134,2016,
134,2017,
134,2018,
134,2019,
134,2020,
134,2021,
134,2022,
134,2023,
134,2024,0.0137
135,2014,
135,2015,
135,2016,
135,2017,
135,2018,
135,2019,
135,2020,
135,2021,
135,2022,
135,2023,
135,2024,-0.8997
136,2014,
136,2015,
136,2016,
136,2017,
136,2018,
136,2019,
136,2020,
136,2021,
136,2022,-0.1222
136,2023,0.0312
136,2024,0.046
