tipo_fondo,fondo_mutuo,administradora,fec__inicio_operacion,moneda_cuota,valor_cuota,patrimonio_s__,participes_n,anos,categoria,fund_id,risk,logo
Flexible,SF INST DE RENTA $ IX,SCOTIA FONDOS,25/04/2023,$,1160.28,11353257.84,12.0,1,Flexible,127,Medium Low,/logosFondosMutuos/logoScotia2.png
Flexible,SF Inst. Renta $ VIII,SCOTIA FONDOS,13/12/2022,$,1120.41,64502376.96,39.0,2,Flexible,128,Medium,/logosFondosMutuos/logoScotia2.png
Flexible,SF INST RENTA S/ 1Y III,SCOTIA FONDOS,21/08/2024,S/.,1012.11,58345258.2,11.0,0,Flexible,129,,/logosFondosMutuos/logoScotia2.png
Flexible,SF INSTI DE RENTA $ X,SCOTIA FONDOS,05/09/2023,$,1147.95,27269837.36,29.0,1,Flexible,130,Medium Low,/logosFondosMutuos/logoScotia2.png
Flexible,SF Insti Renta S/ 1Y II,SCOTIA FONDOS,28/05/2024,S/.,1030.12,73504705.63,12.0,0,Flexible,131,,/logosFondosMutuos/logoScotia2.png
Flexible,SF Institucional de Renta $ XI,SCOTIA FONDOS,09/05/2023,$,1057.04,27759039.97,37.0,1,Flexible,132,Low,/logosFondosMutuos/logoScotia2.png
Flexible,SF Institucional Renta $ V,SCOTIA FONDOS,05/04/2022,$,1104.31,126128546.42,93.0,2,Flexible,133,Low,/logosFondosMutuos/logoScotia2.png
Flexible,SF Institucional Renta $ VI,SCOTIA FONDOS,16/08/2022,$,1135.53,113009295.02,59.0,2,Flexible,134,Medium Low,/logosFondosMutuos/logoScotia2.png
Flexible,SF Institucional Renta $ VII,SCOTIA FONDOS,07/12/2022,$,1039.47,35506762.94,46.0,2,Flexible,135,Low,/logosFondosMutuos/logoScotia2.png
Flexible,SF NOTA ESTRUCTURADA IX,SCOTIA FONDOS,26/09/2024,$,96.28,36484493.52,60.0,0,Flexible,136,,/logosFondosMutuos/logoScotia2.png
Flexible,SF Nota Estructurada VIII,SCOTIA FONDOS,05/10/2024,$,105.98,22641342.29,48.0,0,Flexible,137,,/logosFondosMutuos/logoScotia2.png
Flexible,SF Renta $ 1Y VII,SCOTIA FONDOS,13/12/2023,$,10.56,257540843.81,479.0,1,Flexible,138,Low,/logosFondosMutuos/logoScotia2.png
Flexible,SF Renta $ 1Y VIII,SCOTIA FONDOS,04/03/2024,$,10.35,186705873.11,254.0,0,Flexible,139,,/logosFondosMutuos/logoScotia2.png
Flexible,SF Renta $ 6M XXI,SCOTIA FONDOS,08/07/2024,$,10.15,356668177.17,720.0,0,Flexible,140,,/logosFondosMutuos/logoScotia2.png
Flexible,SF RENTA $ 6M XXII,SCOTIA FONDOS,10/09/2024,$,10.05,155940734.85,400.0,0,Flexible,141,,/logosFondosMutuos/logoScotia2.png
Flexible,SF RENTA SOLES 6M V,SCOTIA FONDOS,19/06/2024,S/.,10.28,306430514.65,799.0,0,Flexible,142,,/logosFondosMutuos/logoScotia2.png
Flexible,SFNotaEstructurada IV-F. Insti,SCOTIA FONDOS,01/04/2022,$,100.81,35396424.32,54.0,2,Flexible,143,Medium Low,/logosFondosMutuos/logoScotia2.png
Fondo de Fondos,-BLUM USA 500 FDF SERIE A,BLUM SAF,15/10/2024,$,9.81,,2.0,0,Fondo de Fondos,144,,/logosFondosMutuos/logoBlum.png
Fondo de Fondos,-BLUM USA 500 FDF SERIE B,BLUM SAF,15/10/2024,$,9.8,,58.0,0,Fondo de Fondos,145,,/logosFondosMutuos/logoBlum.png
Fondo de Fondos,CRED CAP. INVESTMENT GRADE,CREDIFONDO SAF,09/04/2018,$,117.58,166312751.72,919.0,6,Fondo de Fondos,146,Medium Low,/logosFondosMutuos/logoCredicorp.png
