bond_key,emisor,credit_rating_agency,risk_classification,risk
22,Banco GNB Peru S.A.,pcr,AA,low
23,Banco GNB Peru S.A.,pcr,p1,low
24,Banco GNB Peru S.A.,pcr,p1,low
25,Banco GNB Peru S.A.,pcr,p1,low
26,Banco Interamericano de Finanzas- Banbif ,pcr,pAA,low
27,Banco Interamericano de Finanzas- Banbif ,pcr,pAA,low
28,Banco Interamericano de Finanzas- Banbif ,pcr,pAA,low
29,Banco Interamericano de Finanzas- Banbif ,pcr,pAA,low
30,Banco Interamericano de Finanzas- Banbif ,pcr,pAA,low
31,Banco Interamericano de Finanzas- Banbif ,pcr,p1+,low
32,Banco Interamericano de Finanzas- Banbif ,pcr,p1+,low
33,Banco Interamericano de Finanzas- Banbif ,pcr,p1+,low
34,Banco Ripley Perú S.A.,pcr,p1-,low
35,Banco Santander Perú S.A.,pcr,pAAA,low
36,Banco BBVA Perú,pcr,pAAA,low
38,Banco BBVA Perú,pcr,pAA+,low
39,Banco BBVA Perú,pcr,pAA+,low
40,Bosques Amazónicos S.A.C.,pcr,p1-,low
41,Bosques Amazónicos S.A.C.,pcr,p1-,low
42,Bosques Amazónicos S.A.C.,pcr,p1-,low
43,Bosques Amazónicos S.A.C.,pcr,PA+,low
44,Bosques Amazónicos S.A.C.,pcr,pA+,low
45,Centenario Renta Inmobiliaria S.A.C.,pcr,pAA,low
79,Enel Generación Perú S.A.A.,pcr,pAAA,low
93,Enel Distribución Perú S.A.A.,pcr,pAAA,low
94,Enel Distribución Perú S.A.A.,pcr,pAAA,low
95,Enel Distribución Perú S.A.A.,pcr,pAAA,low
96,Enel Distribución Perú S.A.A.,pcr,pAAA,low
97,Enel Distribución Perú S.A.A.,pcr,pAAA,low
98,Enel Distribución Perú S.A.A.,pcr,pAAA,low
99,Enel Distribución Perú S.A.A.,pcr,pAAA,low
100,Enel Distribución Perú S.A.A.,pcr,pAAA,low
101,Enel Distribución Perú S.A.A.,pcr,pAAA,low
102,Enel Distribución Perú S.A.A.,pcr,pAAA,low
103,Enel Distribución Perú S.A.A.,pcr,pAAA,low
104,Enel Distribución Perú S.A.A.,pcr,pAAA,low
105,Enel Distribución Perú S.A.A.,pcr,AAA,low
119,Financiera Efectiva S.A.,pcr,p1,low
120,Financiera Efectiva S.A.,pcr,p1,low
138,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),pcr,pAA,low
139,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),pcr,pAA,low
140,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),pcr,pAA,low
