Reporte Valor Cuota,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fecha y Hora de generaci󮺠12/11/2024 12:58:12 p.m.,,,,,,,,,,,,,,,,
Fondo: FONDO OPERATIVO,,,,,,,,,,,,,,,,
Fecha Inicio: 31 de Octubre del 2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Variacion desde el Inicio del 2024,Rentabilidad(A) 2023,Rentabilidad(A) 2022,Rentabilidad(A) 2021,Rentabilidad(A) 2020,Rentabilidad(A) 2019,Patrimonio S/.,Patrimonio %,Partícipes N,Partícipes %,Inf. Atrasada
12 - Estructurado,IF 36 Custodio Dólares FMIV INTERFONDO,INTERFONDO,21/12/2023,$,52.348,4.11%,0.28%,,,,,"59,596,393.39",0.13%,320,0.07%,31/10/2024
12 - Estructurado,IF 37 Custodia Dólares FMIV INTERFONDO,INTERFONDO,23/01/2024,$,51.954,3.53%,,,,,,"49,333,870.54",0.11%,382,0.08%,31/10/2024
12 - Estructurado,IF 38 Custodia Dólares FMIV INTERFONDO,INTERFONDO,26/02/2024,$,51.571,2.91%,,,,,,"55,203,634.59",0.12%,334,0.07%,31/10/2024
12 - Estructurado,IF 39 Custodia Dólares FMIV INTERFONDO,INTERFONDO,27/06/2024,$,51.1659,2.07%,,,,,,"71,032,090.37",0.15%,418,0.09%,31/10/2024
12 - Estructurado,IF 41 Custodia Dólares FMIV INTERFONDO,INTERFONDO,19/09/2024,$,50.3395,0.42%,,,,,,"44,686,575.51",0.10%,244,0.05%,31/10/2024
12 - Estructurado,Prudential Renta Segura $ I PRUDENTIALSAF SAF,PRUDENTIALSAF SAF,25/08/2024,$,10.1958117,0.89%,,,,,,"3,517,152.44",0.01%,40,0.01%,31/10/2024
12 - Estructurado,SF Inversiones Smart $ I SCOTIA FONDOS,SCOTIA FONDOS,6/6/24,$,102.3331899,1.97%,,,,,,"92,636,183.15",0.20%,300,0.06%,31/10/2024
12 - Estructurado,SF Inversiones Smart $ II SCOTIA FONDOS,SCOTIA FONDOS,17/10/2024,$,100.5925851,0.11%,,,,,,"39,344,102.00",0.09%,107,0.02%,31/10/2024
14 - Renta Mixta Crecimiento Soles,CRED. CRECIMIENTO VCS CREDIFONDO SAF,CREDIFONDO SAF,19/06/2008,S/.,162.917331,11.57%,15.61%,-0.70%,1.44%,3.19%,3.90%,"28,847,087.22",0.06%,556,0.11%,31/10/2024
17 - Renta Mixta Balanceado Dólares,CRED. EQUILIBRADO CREDIFONDO SAF,CREDIFONDO SAF,9/3/07,$,145.948098,7.73%,12.81%,-0.36%,-3.17%,-1.31%,5.76%,"19,625,851.24",0.04%,328,0.07%,31/10/2024
