Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Standard Dev,Return Lowest,Return Highest,Avg Return Arithmetic,Patrimonio S/.,Partícipes N
Flexible,IF Futuro Seguro $ INTERFONDO,INTERFONDO,27/12/2021,$,48.73,0.0456,0.0832,-0.1385,-0.0003,,,,,,,,0.09688298784,-0.1385,0.0832,-0.0025,8421311.21,120
Flexible,IF Futuro Seguro S/ INTERFONDO,INTERFONDO,27/12/2021,S/.,101.5,0.0456,0.1038,-0.1201,-0.0005,,,,,,,,0.09499245584,-0.1201,0.1038,0.0072,3569611,95
Flexible,IF INVERSION GLOBAL INTERFONDO,INTERFONDO,26/01/2015,$,68.5,0.0871,0.1405,-0.2028,0.1175,0.1496,0.1565,-0.088,0.0699,-0.0209,-0.0282,,0.1194728588,-0.2028,0.1565,0.0381,28609026.84,646
Flexible,IF OPORTUNIDAD INTERFONDO,INTERFONDO,6/12/13,$,0,,,,-1,0.0205,0.0269,0.01,0.0141,0.0071,0.0061,0.0024,0.3580428444,-1.0000,0.0269,-0.1141,293054894.4,3848
Flexible,INTERFONDO-IF OPORTUNIDAD SERIE A,INTERFONDO,6/12/13,$,58.55,0.0191,0.0336,0.0144,,,,,,,,,0.01000816333,0.0144,0.0336,0.0224,,3749
Flexible,INTERFONDO-IF OPORTUNIDAD SERIE B,INTERFONDO,6/12/13,$,58.92,0.0201,0.0354,0.0162,,,,,,,,,0.01014839889,0.0162,0.0354,0.0239,,94
Flexible,INTERFONDO-IF OPORTUNIDAD SERIE C,INTERFONDO,6/12/13,$,58.55,,,,,,,,,,,,#DIV/0!,0.0000,0.0000,#DIV/0!,,5
Flexible,IF OPORTUNIDAD SOLES INTERFONDO,INTERFONDO,16/11/2012,S/.,0,,,,,-1,0.0352,0.0219,0.0427,0.0404,0.0388,0.0329,0.3913721904,-1.0000,0.0427,-0.1126,419861239.6,6606
Flexible,INTERFONDO-IF OPORTUNIDAD SOLES SERIE A,INTERFONDO,16/11/2012,S/.,144.59,0.0294,0.078,0.0026,-0.0101,,,,,,,,0.03899627119,-0.0101,0.0780,0.0250,,6493
Flexible,INTERFONDO-IF OPORTUNIDAD SOLES SERIE B,INTERFONDO,16/11/2012,S/.,145.24,0.03,0.0792,0.0038,-0.0089,,,,,,,,0.03897472472,-0.0089,0.0792,0.0260,,38
